 * Serving Flask app "main" (lazy loading)
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on http://0.0.0.0:5002/ (Press CTRL+C to quit)
165.225.106.133 - - [17/Jan/2020 20:56:12] "GET /biddingsystem/searchjob HTTP/1.1" 200 -
165.225.106.133 - - [17/Jan/2020 20:56:13] "GET /static/search.css HTTP/1.1" 200 -
165.225.106.133 - - [17/Jan/2020 20:56:14] "GET /favicon.ico HTTP/1.1" 404 -
[2020-01-17 20:56:18,467] ERROR in main: Processing default requestall
165.225.106.133 - - [17/Jan/2020 20:56:18] "POST /biddingsystem/searchjob HTTP/1.1" 200 -
165.225.106.133 - - [17/Jan/2020 20:56:22] "GET /biddingsystem/searchjob HTTP/1.1" 200 -
165.225.106.133 - - [17/Jan/2020 20:57:33] "GET /biddingsystem/searchjob HTTP/1.1" 200 -
[2020-01-17 20:57:37,364] ERROR in main: Processing default requestall
165.225.106.133 - - [17/Jan/2020 20:57:37] "POST /biddingsystem/searchjob HTTP/1.1" 200 -
85.143.106.76 - - [17/Jan/2020 20:58:36] "GET /biddingsystem/searchjob HTTP/1.1" 200 -
85.143.106.76 - - [17/Jan/2020 20:58:36] "GET /static/search.css HTTP/1.1" 200 -
85.143.106.76 - - [17/Jan/2020 20:58:36] "GET /favicon.ico HTTP/1.1" 404 -
85.143.106.76 - - [17/Jan/2020 20:58:36] "GET /biddingsystem/searchjob HTTP/1.1" 200 -
[2020-01-17 20:58:46,115] ERROR in main: Processing default requestall
85.143.106.76 - - [17/Jan/2020 20:58:46] "POST /biddingsystem/searchjob HTTP/1.1" 200 -
85.143.106.76 - - [17/Jan/2020 20:58:46] "GET /biddingsystem/searchjob HTTP/1.1" 200 -
85.143.106.76 - - [17/Jan/2020 20:59:32] "GET /biddingsystem/searchjob HTTP/1.1" 200 -
