 * Serving Flask app "main" (lazy loading)
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on http://0.0.0.0:5000/ (Press CTRL+C to quit)
165.225.106.133 - - [17/Jan/2020 20:55:03] "GET /biddingsystem/home HTTP/1.1" 200 -
165.225.106.133 - - [17/Jan/2020 20:55:34] "GET /biddingsystem/ HTTP/1.1" 200 -
165.225.106.133 - - [17/Jan/2020 20:56:08] "POST /biddingsystem/ HTTP/1.1" 302 -
165.225.106.133 - - [17/Jan/2020 20:56:09] "GET /biddingsystem/home HTTP/1.1" 200 -
31.13.115.9 - - [17/Jan/2020 20:57:00] "GET /biddingsystem HTTP/1.1" 308 -
31.13.115.9 - - [17/Jan/2020 20:57:00] "GET /biddingsystem/ HTTP/1.1" 200 -
31.13.115.14 - - [17/Jan/2020 20:57:01] "GET /biddingsystem HTTP/1.1" 308 -
31.13.115.14 - - [17/Jan/2020 20:57:01] "GET /biddingsystem/ HTTP/1.1" 200 -
165.225.106.133 - - [17/Jan/2020 20:57:04] "GET /biddingsystem/profile HTTP/1.1" 200 -
85.143.106.76 - - [17/Jan/2020 20:57:08] "GET /biddingsystem?fbclid=IwAR2ntrugp4ByOtDys0suGGQrLgT4e-zrRWnxiihT6DXV6HPyLCNUJ4J31OU HTTP/1.1" 308 -
85.143.106.76 - - [17/Jan/2020 20:57:09] "GET /biddingsystem/?fbclid=IwAR2ntrugp4ByOtDys0suGGQrLgT4e-zrRWnxiihT6DXV6HPyLCNUJ4J31OU HTTP/1.1" 200 -
85.143.106.76 - - [17/Jan/2020 20:57:09] "GET /static/style.css HTTP/1.1" 200 -
85.143.106.76 - - [17/Jan/2020 20:57:09] "GET /biddingsystem/?fbclid=IwAR2ntrugp4ByOtDys0suGGQrLgT4e-zrRWnxiihT6DXV6HPyLCNUJ4J31OU HTTP/1.1" 200 -
85.143.106.76 - - [17/Jan/2020 20:57:09] "GET /favicon.ico HTTP/1.1" 404 -
85.143.106.76 - - [17/Jan/2020 20:57:16] "GET /biddingsystem/register HTTP/1.1" 200 -
85.143.106.76 - - [17/Jan/2020 20:57:16] "GET /biddingsystem/register HTTP/1.1" 200 -
165.225.106.133 - - [17/Jan/2020 20:57:25] "GET /biddingsystem/ HTTP/1.1" 200 -
165.225.106.133 - - [17/Jan/2020 20:57:30] "POST /biddingsystem/ HTTP/1.1" 302 -
165.225.106.133 - - [17/Jan/2020 20:57:30] "GET /biddingsystem/home HTTP/1.1" 200 -
85.143.106.76 - - [17/Jan/2020 20:57:32] "POST /biddingsystem/register HTTP/1.1" 200 -
85.143.106.76 - - [17/Jan/2020 20:57:32] "GET /biddingsystem/register HTTP/1.1" 200 -
85.143.106.76 - - [17/Jan/2020 20:57:36] "GET /biddingsystem/ HTTP/1.1" 200 -
85.143.106.76 - - [17/Jan/2020 20:57:36] "GET /biddingsystem/ HTTP/1.1" 200 -
85.143.106.76 - - [17/Jan/2020 20:57:43] "POST /biddingsystem/ HTTP/1.1" 302 -
85.143.106.76 - - [17/Jan/2020 20:57:43] "GET /biddingsystem/home HTTP/1.1" 200 -
85.143.106.76 - - [17/Jan/2020 20:57:43] "GET /biddingsystem/home HTTP/1.1" 200 -
85.143.106.76 - - [17/Jan/2020 20:57:50] "GET /biddingsystem/profile HTTP/1.1" 200 -
85.143.106.76 - - [17/Jan/2020 20:57:50] "GET /biddingsystem/profile HTTP/1.1" 200 -
85.143.106.76 - - [17/Jan/2020 20:58:27] "GET /biddingsystem HTTP/1.1" 308 -
85.143.106.76 - - [17/Jan/2020 20:58:27] "GET /biddingsystem/ HTTP/1.1" 200 -
85.143.106.76 - - [17/Jan/2020 20:58:27] "GET /biddingsystem/ HTTP/1.1" 200 -
85.143.106.76 - - [17/Jan/2020 20:58:33] "POST /biddingsystem/ HTTP/1.1" 302 -
85.143.106.76 - - [17/Jan/2020 20:58:33] "GET /biddingsystem/home HTTP/1.1" 200 -
85.143.106.76 - - [17/Jan/2020 20:58:33] "GET /biddingsystem/home HTTP/1.1" 200 -
157.33.216.188 - - [17/Jan/2020 20:58:43] "GET /biddingsystem HTTP/1.1" 308 -
157.33.216.188 - - [17/Jan/2020 20:58:45] "GET /biddingsystem/ HTTP/1.1" 200 -
157.33.216.188 - - [17/Jan/2020 20:58:45] "GET /static/style.css HTTP/1.1" 200 -
157.33.216.188 - - [17/Jan/2020 20:58:47] "GET /favicon.ico HTTP/1.1" 404 -
85.143.106.76 - - [17/Jan/2020 20:59:34] "GET /biddingsystem/home HTTP/1.1" 200 -
195.91.215.161 - - [18/Jan/2020 05:10:17] "GET /favicon.ico HTTP/1.1" 404 -
195.91.215.161 - - [18/Jan/2020 05:11:09] "GET /biddingsystem/ HTTP/1.1" 200 -
195.91.215.161 - - [18/Jan/2020 05:11:10] "GET /static/style.css HTTP/1.1" 200 -
195.91.215.161 - - [18/Jan/2020 05:11:12] "GET /favicon.ico HTTP/1.1" 404 -
