 * Serving Flask app "main" (lazy loading)
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on http://0.0.0.0:5001/ (Press CTRL+C to quit)
165.225.106.133 - - [17/Jan/2020 20:55:28] "GET /biddingsystem/postjob HTTP/1.1" 200 -
165.225.106.133 - - [17/Jan/2020 20:55:29] "GET /static/style.css HTTP/1.1" 200 -
165.225.106.133 - - [17/Jan/2020 20:55:29] "GET /favicon.ico HTTP/1.1" 404 -
165.225.106.133 - - [17/Jan/2020 20:57:11] "GET /biddingsystem/postjob HTTP/1.1" 200 -
165.225.106.133 - - [17/Jan/2020 20:57:21] "POST /biddingsystem/savejob HTTP/1.1" 200 -
85.143.106.76 - - [17/Jan/2020 20:57:52] "GET /biddingsystem/postjob HTTP/1.1" 200 -
85.143.106.76 - - [17/Jan/2020 20:57:52] "GET /static/style.css HTTP/1.1" 200 -
85.143.106.76 - - [17/Jan/2020 20:57:52] "GET /favicon.ico HTTP/1.1" 404 -
85.143.106.76 - - [17/Jan/2020 20:57:52] "GET /biddingsystem/postjob HTTP/1.1" 200 -
85.143.106.76 - - [17/Jan/2020 20:58:21] "POST /biddingsystem/savejob HTTP/1.1" 200 -
85.143.106.76 - - [17/Jan/2020 20:58:21] "GET /biddingsystem/savejob HTTP/1.1" 200 -
